Operator,# Args,Tags,Type,Authors,BDay,Description
"mhuang_zliu_return_forecast_vector_group_fast(alpha, ret_prox, group, ret_days=1, lookback = 126, t_threshold = 1.5, fast_mode_skip_days = 5)",,,global,mhuang,20210621,"Regress the feature to make return predictions with high t-values confidence in a group-wise fashion. Applicable to sparser features compared to zliu_xdu_mhuang_return_forecast_vector. In general, it generates signals with higher return than the original signals but with less liquidity, due to the selection of the model by t_threshold"
"tpradhan_cgao_ts_linear_regression(feature_list, y, shift=1, mode=""OLS"", weights=None, lookback=22, refit=22, include_intercept=True)",,,global,tpradhan,20220215,"Operator used to do ordinary / weighted least  linear regression operator for every stock time series.

Operator Schema

tpradhan_cgao_ts_linear_regression(feature_list, y, shift=1, mode=""OLS"", weights=None, lookback=22, refit=22, include_intercept=True)

Authors

cgao90"
"ycai_group_average(var, grpVar, avgExcludeSelf = False, digitizeVar = False, binNum = 10)",,,global,ycai,20230419,Compute group average of input var based on grpVar.
at_nan2zero(A),Unary,Post processing,builtin,,,"Replace nonfinite values to zeros

Returns in place np.nan_to_num(a), replacing np.nan and np.inf with zeros.  "
at_zero2nan(A),Unary,Post processing,builtin,,,"Replace zeros to nans

Returns a[a==0] = np.nan, replacing zeros with np.nan."
at_signlog(A),Unary,Post processing,builtin,,,"Sign-preserving log1p transformation

Returns in place np.sign(a) * np.log1p(np.abs(input))"
at_signsqrt(A),Unary,,builtin,,,"Sign-preserving sqrt transformation

Returns in place np.sign(a) * np.sqrt(np.abs(input)+1)"
cs_rank(A),Unary,"Relative value, Cross sectional",builtin,,,"Assign rank to stock values every day

Compute ranks and scale uniformly between 1 and 2 for convenience"
cs_scale(A),Unary,"Relative value, Cross sectional",builtin,,,"Scale the data between 1 and 2

Applies min-max scaling to the data each day and scale to 1 and 2: A[:,day] = 1 + (A[:,day] - np.nanmin(A[:,day])) / (np.nanmax(A[:,day]) - np.nanmin(A[:,day]))."
cs_zscore(A),Unary,"Relative value, Cross sectional",builtin,,,"Normalize the data by centering and standardizing

Computes the z-score of each stock data each day: A[:,day] = (A[:,day] - np.nanmean(A[:,day])) / np.nanstd(A[:,day])."
"cs_remove_middle(A, filter_percentile)",Unary,"Post processing, Cross sectional",builtin,,,"Keep only the extreme cross-sectional values by removing the middle values

Remove the filter_percentile of middle values among stocks each day"
"cs_winsor(A, filter_percentile, remove_extreme)",Unary,"Post processing, Cross sectional",builtin,,,"Winsorizes or removes extreme values

Sets extreme values to filter_percentile values or zeros"
cs_harmonic_mean(A),Unary,Cross sectional,builtin,,,"Compute harmonic mean across all stocks every day

Compute the cross-sectional harmonic mean each day:  A[:,day] = 1 / np.nanmean(1 / A[:,day]). "
"cs_indneut(input, grouping)",Binary,"Relative value, Cross sectional",builtin,,,Returns a neutralized version of input data variable to grouping data variable.
"cs_factorneut(input,[factor1,factor2],int_factors=[int_factor1,int_factor2])",Multi-input,"Relative value, Post processing, Cross sectional",builtin,,,"Neutralize the input variable to style factors (e.g. size, value, momentum)"
"cs_booksize(input, booksize)",Unary,"Post processing, Cross sectional",builtin,,,Normalize positions of input portfolio such that the sum of all positive and negative positions sum to the same number everyday
cs_shrink_balance(input),Unary,"Post processing, Cross sectional",builtin,,,Compute and compare the sum of all long positions to the sum of all short positions in a portfolio everyday. Shrink the size of the larger book such that it equals the smaller book size so that the portfolio is balanced.
"cs_poslimit(input, pos_limit)",Unary,"Post processing, Cross sectional",builtin,,,This operator places an upper bound on the limit of the portfolio that can be allocated to any single stock
"ts_corr_binary(A, B, days)",Binary,Time series,builtin,,,"Computes stock level correlation between two data variables

Computes correlation between two data variables in the past days time points for each stock. "
"ts_delay(A, days)",Unary,Time series,builtin,,,"Sets value today to the value days ago.

Set each A[:,day] to A[:,day-days]. i.e. rolls the matrix along the time dimension: np.roll(A,days,1)"
"ts_diff(A, n)",Unary,Time series,builtin,,,"Computes the n-th discrete difference along the time dimension

The first difference is given by out[n] = A[n+1] - A[n] along the time axis, higher differences are calculated by using diff recursively e.g. ts_diff(input,2) = ts_diff(ts_diff(input,1),1)."
ts_fill(A),Unary,Time series,builtin,,,"Forward fill the data

Iterate through all days and replace nans today with previous day's values"
"ts_harmonic_mean(A, days)",Unary,Time series,builtin,,,"Harmonic mean of the data in the last days

Compute the harmonic mean in the past days each day"
"ts_mean(A, days)",Unary,Time series,builtin,,,"Mean in the past days

Compute the mean value in the past days each day"
"ts_mean_exp(A, days, exp_factor)",Unary,Time series,builtin,,,"Exponentially weighted average in the past days

Compute the exponentially weighted average value in the past days each day"
"ts_median(A, days)",Unary,Time series,builtin,,,"Nanmedian of values in the past days

Compute the median in the past days each day, ignoring nans"
"ts_max(A, days)",Unary,Time series,builtin,,,"Maximum in the past days

Compute the maximum value in the past days each day"
"ts_min(A, days)",Unary,Time series,builtin,,,"Nanmin of values in the past days

Compute the min in the past days each day, ignoring nans"
"ts_sum(A, days)",Unary,Time series,builtin,,,"Cumulative sum in the past days

Compute the sum of all finite values in the past days"
"ts_rank(A, days)",Unary,Time series,builtin,,,"Assign rank to today's value within past days

Compute ranks across the time series and scale uniformly between 1 and 2 for convenience"
"ts_skew(A, days)",Unary,Time series,builtin,,,Compute the skewness of the finite values in the last days
"ts_std(A, days)",Unary,Time series,builtin,,,Compute the standard deviation of the finite values in the last days
